State,Month,Year,Dayweek,Fatalities,Speed
SA,Jul,2021,Wednesday,1,80
Qld,Jul,2021,Monday,1,50
Vic,Jul,2021,Wednesday,1,70
NSW,Jul,2021,Thursday,1,50
Vic,Jul,2021,Monday,1,60
Tas,Jul,2021,Monday,1,100
Qld,Jul,2021,Tuesday,1,60
NT,Jun,2021,Wednesday,1,110
NT,Jun,2021,Sunday,1,80
Qld,Jun,2021,Sunday,1,110
Qld,Jun,2021,Sunday,1,60
NSW,Jun,2021,Saturday,1,100
NSW,Jun,2021,Sunday,1,80
Vic,Jun,2021,Saturday,1,80
Vic,Jun,2021,Sunday,1,80
Qld,Jun,2021,Saturday,1,60
SA,Jun,2021,Sunday,1,110
WA,Jun,2021,Friday,1,20
NSW,Jun,2021,Sunday,1,100
NT,Jun,2021,Friday,1,130
Vic,Jun,2021,Wednesday,1,50
NSW,Jun,2021,Wednesday,1,50
NSW,Jun,2021,Wednesday,1,60
Qld,Jun,2021,Tuesday,1,100
Tas,Jun,2021,Thursday,1,100
Vic,Jun,2021,Friday,1,50
Vic,Jun,2021,Monday,1,50
Qld,Jun,2021,Tuesday,1,80
Vic,Jun,2021,Wednesday,1,100
NSW,Jun,2021,Wednesday,2,100
Qld,Jun,2021,Wednesday,1,100
Qld,Jun,2021,Thursday,1,110
NSW,Jun,2021,Friday,1,70
NSW,Jun,2021,Tuesday,1,110
NSW,Jun,2021,Monday,1,80
Vic,Jun,2021,Wednesday,1,60
WA,Jun,2021,Wednesday,1,110
NSW,Jun,2021,Friday,1,50
Qld,Jun,2021,Thursday,1,80
Vic,Jun,2021,Wednesday,1,80
Vic,Jun,2021,Monday,1,100
Qld,Jun,2021,Friday,1,100
Qld,Jun,2021,Monday,1,100
Vic,Jun,2021,Saturday,1,60
Qld,Jun,2021,Friday,1,80
NSW,Jun,2021,Saturday,1,40
NSW,Jun,2021,Wednesday,1,50
Vic,Jun,2021,Monday,1,50
NSW,Jun,2021,Monday,1,60
NSW,Jun,2021,Thursday,1,60
ACT,Jun,2021,Friday,1,50
SA,Jun,2021,Wednesday,1,50
Vic,Jun,2021,Tuesday,1,60
Vic,Jun,2021,Tuesday,1,-9
Vic,Jun,2021,Tuesday,1,-9
Vic,Jun,2021,Wednesday,1,70
NSW,Jun,2021,Saturday,1,60
Qld,Jun,2021,Sunday,1,50
NSW,Jun,2021,Friday,1,50
WA,Jun,2021,Tuesday,1,110
WA,Jun,2021,Sunday,1,110
NSW,Jun,2021,Saturday,1,110
NSW,Jun,2021,Saturday,1,70
SA,Jun,2021,Sunday,1,110
NSW,Jun,2021,Sunday,1,100
Qld,Jun,2021,Monday,1,80
NSW,Jun,2021,Sunday,1,80
WA,Jun,2021,Wednesday,2,110
NSW,Jun,2021,Thursday,1,60
Qld,Jun,2021,Monday,1,60
Qld,Jun,2021,Monday,1,100
SA,Jun,2021,Saturday,1,110
NSW,Jun,2021,Friday,1,100
SA,Jun,2021,Friday,1,100
Vic,Jun,2021,Monday,1,100
WA,Jun,2021,Wednesday,1,50
WA,Jun,2021,Wednesday,1,50
WA,Jun,2021,Tuesday,1,110
Vic,Jun,2021,Thursday,1,80
Qld,Jun,2021,Wednesday,1,80
Vic,Jun,2021,Friday,1,80
WA,Jun,2021,Wednesday,1,110
WA,Jun,2021,Thursday,1,60
Qld,Jun,2021,Tuesday,1,60
Qld,Jun,2021,Wednesday,1,100
Vic,Jun,2021,Wednesday,1,100
Qld,Jun,2021,Tuesday,1,100
NSW,Jun,2021,Friday,1,90
NT,Jun,2021,Thursday,3,110
SA,Jun,2021,Thursday,1,60
Qld,Jun,2021,Wednesday,1,80
Qld,Jun,2021,Wednesday,1,50
Vic,Jun,2021,Thursday,1,80
Tas,Jun,2021,Monday,1,-9
SA,Jun,2021,Thursday,1,50
NSW,Jun,2021,Thursday,1,100
NSW,Jun,2021,Wednesday,1,80
NSW,Jun,2021,Thursday,1,100
Qld,Jun,2021,Thursday,1,100
Qld,Jun,2021,Friday,1,100
SA,Jun,2021,Tuesday,1,110
Qld,Jun,2021,Wednesday,1,100
NSW,Jun,2021,Monday,1,100
Qld,Jun,2021,Wednesday,2,100
WA,Jun,2021,Tuesday,1,110
NSW,May,2021,Saturday,1,100
WA,May,2021,Tuesday,1,110
Qld,May,2021,Sunday,1,100
NSW,May,2021,Saturday,1,60
WA,May,2021,Saturday,1,110
Vic,May,2021,Saturday,1,80
SA,May,2021,Saturday,1,110
NSW,May,2021,Sunday,1,100
SA,May,2021,Saturday,1,50
NSW,May,2021,Saturday,1,50
NSW,May,2021,Saturday,1,80
Vic,May,2021,Saturday,1,100
NSW,May,2021,Saturday,1,70
WA,May,2021,Sunday,1,110
NSW,May,2021,Saturday,1,80
WA,May,2021,Friday,1,60
WA,May,2021,Thursday,1,70
Vic,May,2021,Thursday,1,60
NSW,May,2021,Monday,1,100
SA,May,2021,Tuesday,1,80
Vic,May,2021,Monday,1,100
SA,May,2021,Monday,1,110
Vic,May,2021,Wednesday,1,100
Qld,May,2021,Thursday,1,60
